"ObjectID","Meter Number","Status","Pay By Cell Number","Meter_Hours","Parking_Facility_Name","Facility","Borough","On_Street","Side_of_Street","From_Street","To_Street","Latitude","Longitude","X","Y","Location"
"3983","3033018","Active","332846","2HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","PITKIN AVENUE","N","GRAFTON STREET","LEGION STREET","40.66855970078","-73.91870949563","1,006,800.92503047","182,861.189117476","POINT (-73.9187094956289 40.6685597007752)"
"8617","1363009","Active","109312","2HR Pas Mon-Fri 1300-1900 / 2HR Pas Sat 0900-1900",,"On Street","Manhattan","AMSTERDAM AVENUE","W","WEST 138 STREET","WEST 139 STREET","40.82105072969","-73.95078440883","997,871.760474131","238,411.921519727","POINT (-73.9507844088264 40.8210507296916)"
"3823","3583008","Active","338979","2HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","FULTON STREET","S","AUTUMN AVENUE","LINCOLN AVENUE","40.68425471032","-73.86987768444","1,020,338.93141897","188,595.671742976","POINT (-73.8698776844378 40.6842547103154)"
"3146","4152117","Inactive","426921","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","JACKSON AVENUE","S","JACKSON AVENUE","11 STREET","40.74276613377","-73.95202056339","997,545.243082553","209,889.998576805","POINT (-73.9520205633896 40.7427661337691)"
"2637","1473021","Active","102065","3HR Com Mon-Fri 0700-1800 / 2HR Pas Mon-Fri 1800-2200 / 2HR Pas Sat 0800-2200",,"On Street","Manhattan","BROADWAY","W","EAST 4 STREET","WASHINGTON PLACE","40.72878785958","-73.99402729235","985,905.402189061","204,793.688559473","POINT (-73.9940272923511 40.7287878595841)"
"3016","3602951","Active","337507","2HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","DITMAS AVENUE","N","EAST 3 STREET","EAST 4 STREET","40.63588636313","-73.97553573924","991,039.993953973","170,947.873705313","POINT (-73.975535739242 40.6358863631305)"
"6412","3573015","Active","320452","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","NOSTRAND AVENUE","W","GRAVESEND NECK ROAD","AVENUE V","40.59868295003","-73.94164743486","1,000,454.63555773","157,398.142602727","POINT (-73.9416474348581 40.5986829500296)"
"306","3253014","Inactive","315041","2HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","MERMAID AVENUE","N","WEST 16 STREET","WEST 17 STREET","40.57674371423","-73.98427312195","988,618.823927552","149,400.121197224","POINT (-73.9842731219472 40.5767437142271)"
"12905","1193072","Inactive","102169","3HR Com Mon-Fri 0700-1900 /2HR Pas Mon-Fri 1900-2200 /2HR Pas Sat 0900-2200",,"On Street","Manhattan","LEXINGTON AVENUE","W","EAST 66 STREET","EAST 67 STREET","40.76688662157","-73.9648903365","993,975.469054133","218,676.183432221","POINT (-73.9648903365026 40.7668866215737)"
"10409","4152119","Inactive","425395","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","47 AVENUE","S","11 STREET","JACKSON AVENUE","40.74468520806","-73.94920943421","998,323.809766889","210,589.617584392","POINT (-73.9492094342146 40.7446852080603)"
"13653","3051343","Active","310168","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","CONEY ISLAND AVENUE","E","KINGS HIGHWAY","AVENUE R","40.60674130828","-73.96170850593","994,882.349130139","160,330.936277807","POINT (-73.9617085059269 40.6067413082825)"
"5701","1353029","Inactive","103169","3HR Com Mon-Sat 1000-1600 / 2HR Pas Mon-Sat 1900-2300",,"On Street","Manhattan","9 AVENUE","W","WEST 33 STREET","WEST 34 STREET","40.75298413467","-73.99673914178","985,153.454874054","213,609.120075554","POINT (-73.996739141775 40.7529841346721)"
"7324","1353052","Active","105084","3HR COM MON-SAT 0700-1600 / 2HR Pass Mon-Sat 1600-2200",,"On Street","Manhattan","10 Avenue","E","West 18 Street","West 19 Street","40.74498097637","-74.00602004953","982,581.881933227","210,693.352613136","POINT (-74.0060200495292 40.7449809763655)"
"11156","4063067","Inactive","441289","2HR Pas Mon-Sat 0700-1900",,"On Street","Queens","39 AVENUE","N","COLLEGE POINT BOULEVARD","PRINCE STREET","40.75931486119","-73.83363330419","1,030,339.22473855","215,959.359797642","POINT (-73.8336333041945 40.7593148611888)"
"10650","2083029","Active","207603","2HR Pas Mon-Sat 0830-1900",,"On Street","Bronx","WHITE PLAINS ROAD","W","EAST 219 STREET","EAST 220 STREET","40.88395959153","-73.86272931238","1,022,207.48509656","261,357.935666978","POINT (-73.8627293123785 40.8839595915308)"
"8543","1433294","Active","102161","3HR Com Mon-Fri 0700-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400",,"On Street","Manhattan","EAST 44 STREET","N","5 AVENUE","MADISON AVENUE","40.75444200831","-73.97901357434","990,064.381403893","214,140.950376734","POINT (-73.9790135743382 40.7544420083128)"
"7728","1068247","Active","114498","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","BROADWAY","E","ACADEMY STREET","WEST 204 STREET","40.86684920121","-73.9233227023","1,005,457.9309973","255,103.483280897","POINT (-73.9233227022987 40.8668492012093)"
"7773","3403123","Inactive","311026","1HR Pas Mon-Sat 1000-1900",,"On Street","Brooklyn","ATLANTIC AVENUE","N","NOSTRAND AVENUE","NEW YORK AVENUE","40.67851035791","-73.94812633585","998,638.208088219","186,480.294083983","POINT (-73.9481263358462 40.6785103579084)"
"11944","4072269","Active","427218","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","38 STREET","W","28 AVENUE","30 AVENUE","40.76445210758","-73.91569962584","1,007,602.27578998","217,798.497195482","POINT (-73.9156996258357 40.7644521075757)"
"1437","5023048","Active","511803","2HR Pas Mon-Sat 0800-1900",,"On Street","Staten Island","MONTGOMERY AVENUE","E","FORT PLACE","VAN DUZER STREET","40.63845129986","-74.07791810087","962,624.8611518","171,891.019128725","POINT (-74.0779181008655 40.6384512998569)"
"6536","1183049","Active","112349","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","EAST 80 STREET","N","MADISON AVENUE","PARK AVENUE","40.77686709659","-73.96119157381","994,998.425013468","222,312.835607722","POINT (-73.9611915738056 40.7768670965864)"
"15000","1433323","Active","104855","3HR Com Mon-Fri 0700-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400",,"On Street","Manhattan","EAST 46 STREET","S","MADISON AVENUE","VANDERBILT AVENUE","40.75514688902","-73.9770368219","990,611.982014716","214,397.89868173","POINT (-73.9770368219019 40.755146889015)"
"1860","4093117","Active","401107","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","STEPHEN STREET","N","FOREST AVENUE","71 AVENUE","40.70027673184","-73.8993729172","1,012,151.8388693","194,422.18666473","POINT (-73.8993729172014 40.7002767318392)"
"211","4493130","Active","463596","2HR Pas Mon-Sat 0800-1900",,"On Street","Queens","WOODHAVEN BOULEVARD","W","DANA COURT","PENELOPE AVENUE","40.72286403575","-73.86811320285","1,020,807.12470831","202,662.919855148","POINT (-73.8681132028536 40.7228640357519)"
"14267","4152099","Inactive","413066","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","27 STREET","W","41 AVENUE","QUEENS PLAZA NORTH","40.75096721024","-73.93918365086","1,001,100.31438448","212,880.121861637","POINT (-73.9391836508573 40.750967210241)"
"7434","3179763","Active","313668","2HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","7 AVENUE","W","14 STREET","15 STREET","40.66357807821","-73.98445229901","988,563.434602633","181,036.162583813","POINT (-73.9844522990141 40.6635780782139)"
"4147","3033006","Inactive","329776","2HR Pas Tue, Wed, Fri, Sat 0830-1900 /2HR Pas Mon, Thur 0900-1900",,"On Street","Brooklyn","NEW LOTS AVENUE","N","WARWICK STREET","ASHFORD STREET","40.66609126049","-73.8834840013","1,016,574.07543164","181,972.900539726","POINT (-73.8834840012963 40.6660912604903)"
