"Complaint #","Date","Address #","Street Name","Borough","Block","Lot","BIN","Postcode","Landmark Name","Work Reported","Action Taken","Status","Council District","Community Board","NTA","Latitude","Longitude"
"CMP-17-00579","05/04/2017","280","Clinton Street","Brooklyn","306","21","3335997","11201","Cobble Hill - Historic District","Painting and renovating the exterior","No Warning Letter Issued","Closed","39","BK-06","Carroll Gardens-Columbia Street-Red Hook","40.68730443719","-73.99578846605"
"CMP-17-00580","05/04/2017","31","East 72nd Street","Manhattan","1387","21","1041456","10021","Upper East Side - Historic District","Façade work without approved samples","No Warning Letter Issued","Closed","04","MN-08","Upper East Side-Carnegie Hill","40.77167027573","-73.96514223131"
"CMP-17-00581","05/04/2017","872","St. Johns Place","Brooklyn","1255","17","3032286","11216","Crown Heights North  II - Historic District","Ongoing work?--see JW and LG","No Warning Letter Issued","Closed","35","BK-08","Crown Heights North","40.67157126207","-73.94925721654"
"CMP-17-00582","05/05/2017","395","Henry Street","Brooklyn","306","2","3003347","11201","Cobble Hill - Historic District","General exterior disrepair","Warning Letter Issued","Closed","39","BK-06","Carroll Gardens-Columbia Street-Red Hook","40.68790010443","-73.99759853881"
"CMP-17-00583","05/07/2017","770","Dawson Street","bronx","2701","22","2005426","10455","Longwood - Historic District","Construction","No Warning Letter Issued","Closed","17","BX-02","Longwood","40.81747462399","-73.89996826842"
"CMP-17-00584","05/08/2017","148","Hoyt Street","Brooklyn","385","37","3005801","11217","Boerum Hill - Historic District","Installation of roof deck.","Warning Letter Issued","Closed","33","BK-02","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","40.68577508819","-73.98836085631"
"CMP-17-00585","05/08/2017","28","Richardson Street","Brooklyn","2731","17","3338060","11211",,"Site conditions endangering workers","No Warning Letter Issued","Closed","33","BK-01","North Side-South Side","40.71818922668","-73.95114448838"
"CMP-17-00589","05/09/2017","196","Guernsey Street","Brooklyn","2595","12","3065301","11222","Greenpoint - Historic District","Ongiong work in noncompliance","No Warning Letter Issued","Closed","33","BK-01","Greenpoint","40.72728410605","-73.95480347668"
"CMP-17-00588","05/09/2017","292","Elizabeth Street","Manhattan","521","65","1008192","10012","NoHo East - Historic District","Installation of light fixtures, cameras, and conduits","Warning Letter Issued","Closed","01","MN-02","West Village","40.72480603123","-73.99329311017"
"CMP-17-00586","05/09/2017","73","Bainbridge Street","Brooklyn","1680","79","3047475","11233","Stuyvesant Heights - Historic District","FTM ironwork","Warning Letter Issued","Closed","36","BK-03","Crown Heights North","40.68062410248","-73.93413647056"
"CMP-17-00590","05/09/2017","415","West 21st Street","Manhattan","719","31","1012631","10011","Chelsea - Historic District","Constructing shed in rear","No Warning Letter Issued","Closed","03","MN-04","Hudson Yards-Chelsea-Flatiron-Union Square","40.74551260804","-74.00297013766"
"CMP-17-00587","05/09/2017","73","Bainbridge Street","Brooklyn","1680","79","3047475","11233","Stuyvesant Heights - Historic District","FTM fence","Warning Letter Issued","Closed","36","BK-03","Crown Heights North","40.68062410248","-73.93413647056"
"CMP-17-00592","05/10/2017","750","Ocean Avenue","Brooklyn","5150","13","3118530","11226",,"Unsafe construction site","No Warning Letter Issued","Closed","40","BK-14","Flatbush","40.64432803665","-73.95992971344"
"CMP-17-00593","05/10/2017","455","Waverly Avenue","Brooklyn","1962","87","3321905","11238","Clinton Hill - Historic District","Alterations to garage","No Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.68476336598","-73.96614675821"
"CMP-17-00591","05/10/2017","333","Bleecker Street","Manhattan","619","50","1084958","10014","Greenwich Village - Historic District","Internall illuminated signage","Warning Letter Issued","Closed","03","MN-02","West Village","40.73357289416","-74.00434796425"
"CMP-17-00595","05/11/2017","416","Rogers Avenue","Brooklyn","1319","50","3034978","11225","Prospect Lefferts Gardens - Historic District","Installation of signage","Warning Letter Issued","Closed","40","BK-09","Prospect Lefferts Gardens-Wingate","40.66258401056","-73.95375517249"
"CMP-17-00594","05/11/2017","706","Riverside Drive","Manhattan","2094","7501","1062427","10031",,"unsafe construction site","No Warning Letter Issued","Closed","07","MN-09","Hamilton Heights","40.82874152503","-73.95051768771"
"CMP-17-00598","05/12/2017","4680","Iselin Avenue","bronx","5822","2660","2084462","10471","Fieldston - Historic District","Possible FTM","No Warning Letter Issued","Closed","11","BX-08","North Riverdale-Fieldston-Riverdale","40.89605809619","-73.90638970864"
"CMP-17-00596","05/12/2017","55","Decatur Street","Brooklyn","1855","54","3053531","11216","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Work","Warning Letter Issued","Closed","36","BK-03","Bedford","40.68054019708","-73.94139783011"
"CMP-17-00597","05/12/2017","163","East 71st Street","Manhattan","1406","7502","1087735","10021","Upper East Side - Historic District","Resurfacing façade","Warning Letter Issued","Closed","04","MN-08","Upper East Side-Carnegie Hill","40.76950097562","-73.96211439553"
"CMP-17-00599","05/14/2017","15","East 26th Street","Manhattan","856","7503","1016877","10010","Madison Square North - Historic District","Removal of grilles from bulkhead and did not replace storefront","No Warning Letter Issued","Closed","02","MN-05","Hudson Yards-Chelsea-Flatiron-Union Square","40.7431185338","-73.98738729265"
"CMP-17-00600","05/15/2017","823","Washington Street","Manhattan","644","33","1012184","10014","Gansevoort Market - Historic District","Installation of signage","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73979779857","-74.00798945415"
"CMP-17-00601","05/15/2017","221","Waverly Avenue","Brooklyn","1917","22","3055056","11205","Clinton Hill - Historic District","Construction site unsafe","Warning Letter Issued","Closed","35","BK-02","Clinton Hill","40.69113160052","-73.96741643324"
"CMP-17-00603","05/16/2017","89","West 119th Street","Manhattan","1718","6","1053235","10026","Mount Morris Park - Historic District","Replacement of windows and façade work","Warning Letter Issued","Closed","09","MN-10","Central Harlem South","40.80356553339","-73.94731805441"
"CMP-17-00602","05/16/2017","819","Carroll Street","Brooklyn","1068","67","3024847","11215","Park Slope - Historic District","Ongoing façade work","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67192788057","-73.97304230261"
"CMP-17-00606","05/17/2017","347","Decatur Street","Brooklyn","1676","60","3338892","11233","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Replacement of awning -Zorox awning","Warning Letter Issued","Closed","36","BK-03","Crown Heights North","40.68184311303","-73.93004666229"
"CMP-17-00605","05/17/2017","85-43","68th Avenue","Queens","3147","40","4074382","11374",,"Illegal drainage","No Warning Letter Issued","Closed","29","QN-06","Rego Park","40.71594226248","-73.8590982297"
